subject_code,burnout_score
CS5001,0.448015352719141
CS5002,0.4467482928824425
CS5004,0.47521069952159617
CS5008,0.47436092760260845
CS5010,0.4454201683519707
CS5047,0.44391296027064897
CS5097,0.44364538338250176
CS5100,0.38436270778208503
CS5150,0.4133772509299021
CS5170,0.4443388249383714
CS5180,0.4445567893373839
CS5200,0.4454946244892057
CS5310,0.44398393200972375
CS5330,0.44492720914941286
CS5335,0.4445567893373839
CS5340,0.44438511951518606
CS5350,0.44225545820265644
CS5360,0.44229866907299836
CS5400,0.4727175761431531
CS5500,0.4733531775508806
CS5520,0.4430544242358888
CS5540,0.47376452395563756
CS5600,0.4423448763417743
CS5610,0.442502137994404
CS5700,0.4427336636649054
CS5800,0.4430760155985817
CS5850,0.44187320481719217
CS5933,0.44208284324666824
CS5934,0.4424651342142394
CS5964,0.4418484988824337
CS5965,0.44174368865309194
CS6120,0.44224008561895806
CS6130,0.44189170149349605
CS6140,0.44189170149349605
CS6200,0.44189170149349605
DS5010,0.4419780214471575
DS5020,0.44300815775476254
DS5110,0.44220920890955784
DS5220,0.4425918040141233
DS5230,0.44277067206774473
DS5500,0.47516705725018143
CS6120,0.44224008561895806
CS6130,0.44189170149349605
CS6140,0.44189170149349605
CS6200,0.44189170149349605
CS6220,0.47307901109857337
CS6240,0.47357758829747654
CS6350,0.44278589878829266
CS6410,0.4734467066415585
CS6510,0.4734529390187608
CS6620,0.44243434218128885
CS6640,0.47326597130994236
CS6650,0.4426625390465098
CS7150,0.4752730462803
CS7200,0.44398393200972375
CS7250,0.44360218958108427
CS7300,0.44417834455832994
CS7400,0.44315179086509504
CS7600,0.4441474842808561
CS7800,0.4756596133143026
